FECHA_HORA_UTC;REGION;LATITUD (°) LOCALIZACIÓN HIPOCENTRO;LONGITUD (°) LOCALIZACIÓN HIPOCENTRO;PROFUNDIDAD (Km) LOCALIZACIÓN HIPOCENTRO;MAGNITUD ;AGENCIA ;LATITUD (°) LOCALIZACIÓN CENTROIDE;LONGITUD (°) LOCALIZACIÓN CENTROIDE;PROFUNDIDAD (Km) LOCALIZACIÓN CENTROIDE;MAGNITUD ;Mo (N.m);Strike plano 1 (°) PLANOS NODALES;Dip plano 1 (°) PLANOS NODALES;Rake plano 1 (°) PLANOS NODALES;Strike plano 2 (°) PLANOS NODALES;Dip plano 2 (°) PLANOS NODALES;Rake plano 2 (°) PLANOS NODALES;T-Plunge (°) EJES PRINCIPALES;T-Azimuth (°) EJES PRINCIPALES;N-Plunge (°) EJES PRINCIPALES;N-Azimuth (°) EJES PRINCIPALES;P-Plunge (°) EJES PRINCIPALES;P-Azimuth (°) EJES PRINCIPALES;Mxx (N.m) MOMENTO TENSOR;Myy (N.m) MOMENTO TENSOR;Mzz (N.m) MOMENTO TENSOR;Mxy (N.m) MOMENTO TENSOR;Myz (N.m) MOMENTO TENSOR;Mzx (N.m) MOMENTO TENSOR;Catalogo
2016-01-04 21:05:56;Los Santos - Santander, Colombia;6,78;-73,14;153,2;4,3;SGC;;;;;;28+/-3;47+/-4;-62+/-1;170+/-3;50+/-4;-117+/-1;;;;;;;;;;;;;POLARIDADES
2016-01-24 09:28:53;Los Santos - Santander, Colombia;6,84;-73,16;151,9;4,3;SGC;;;;;;116+/-3;81+/-2;-143+/-3;19+/-3;54+/-2;-11+/-3;;;;;;;;;;;;;POLARIDADES
2016-02-17 14:49:57;San Martín - Meta, Colombia;3,54;-73,13;4,1;4,2;SGC;;;;;;26+/-4;72+/-5;-153+/-8;287+/-4;64+/-5;-20+/-8;;;;;;;;;;;;;POLARIDADES
2016-02-20 09:34:17;Los Santos - Santander, Colombia;6,82;-73,12;148,1;3,7;SGC;;;;;;38+/-11;18+/-15;17+/-6;292+/-11;85+/-15;107+/-6;;;;;;;;;;;;;POLARIDADES
2016-02-24 04:21:05;Los Santos - Santander, Colombia;6,84;-73,12;154,5;3,9;SGC;;;;;;94+/-5;78+/-5;-162+/-4;0+/-5;72+/-5;-13+/-4;;;;;;;;;;;;;POLARIDADES
2016-02-27 16:05:04;Los Santos - Santander, Colombia;6,84;-73,16;142,3;3,8;SGC;;;;;;158+/-10;57+/-6;97+/-5;325+/-10;34+/-6;79+/-5;;;;;;;;;;;;;POLARIDADES
2016-03-09 05:23:56;Los Santos - Santander, Colombia;6,83;-73,16;149,5;4,3;SGC;;;;;;119+/-6;80+/-7;-144+/-5;22+/-6;55+/-7;-12+/-5;;;;;;;;;;;;;POLARIDADES
2016-03-09 06:27:17;Los Santos - Santander, Colombia;6,84;-73,15;148,3;4,8;SGC;;;;;;14+/-3;40+/-6;118+/-7;159+/-3;55+/-6;68+/-7;;;;;;;;;;;;;POLARIDADES
2016-03-13 13:17:46;Uribe - Meta, Colombia;3,5;-74,58;0;4;SGC;;;;;;28+/-5;67+/-13;-172+/-7;295+/-5;83+/-13;-23+/-7;;;;;;;;;;;;;POLARIDADES
2016-03-17 02:20:25;Los Santos - Santander, Colombia;6,81;-73,17;150;4;SGC;;;;;;116+/-4;82+/-3;-130+/-6;17+/-4;41+/-3;-12+/-6;;;;;;;;;;;;;POLARIDADES
2016-04-08 10:47:26;Los Santos - Santander, Colombia;6,83;-73,16;152,9;4,2;SGC;;;;;;117+/-5;81+/-5;-142+/-5;20+/-5;53+/-5;-11+/-5;;;;;;;;;;;;;POLARIDADES
2016-04-20 05:35:25;Los Santos - Santander, Colombia;6,8;-73,14;146,2;4,3;SGC;;;;;;58+/-7;14+/-4;158+/-7;169+/-7;85+/-4;77+/-7;;;;;;;;;;;;;POLARIDADES
2016-04-26 01:50:16;El Carmen - Santander, Colombia;6,56;-73,52;114,2;4,3;SGC;;;;;;36+/-8;34+/-7;15+/-7;293+/-8;82+/-7;123+/-7;;;;;;;;;;;;;POLARIDADES
2016-04-30 16:11:47;Los Santos - Santander, Colombia;6,81;-73,16;145,5;4,5;SGC;;;;;;58+/-15;58+/-5;-142+/-13;306+/-15;59+/-5;-38+/-13;;;;;;;;;;;;;POLARIDADES
2016-05-01 14:28:07;Maripí - Boyacá, Colombia;5,62;-74,05;115,3;3,4;SGC;;;;;;18+/-14;64+/-13;-25+/-7;120+/-14;68+/-13;-152+/-7;;;;;;;;;;;;;POLARIDADES
2016-05-06 13:56:42;El Playón - Santander, Colombia;7,45;-73,18;132,2;4,1;SGC;;;;;;44+/-5;58+/-3;58+/-12;274+/-5;44+/-3;130+/-12;;;;;;;;;;;;;POLARIDADES
2016-05-07 19:05:07;San Joaquín - Santander, Colombia;6,38;-72,91;4;3,9;SGC;;;;;;128+/-10;65+/-8;-22+/-13;228+/-10;70+/-8;-153+/-13;;;;;;;;;;;;;POLARIDADES
2016-05-11 14:46:09;Los Santos - Santander, Colombia;6,81;-73,13;152,5;4,2;SGC;;;;;;138+/-6;43+/-9;-180+/-2;48+/-6;90+/-9;-47+/-2;;;;;;;;;;;;;POLARIDADES
2016-05-12 09:00:41;Los Santos - Santander, Colombia;6,8;-73,14;150,2;3,8;SGC;;;;;;48+/-15;11+/-10;95+/-6;223+/-15;79+/-10;89+/-6;;;;;;;;;;;;;POLARIDADES
2016-05-16 07:23:10;Circasia - Quindío, Colombia;4,57;-75,67;2,7;1,9;SGC;;;;;;110+/-8;50+/-3;-122+/-2;334+/-8;49+/-3;-58+/-2;;;;;;;;;;;;;POLARIDADES
2016-05-20 17:27:31;Los Santos - Santander, Colombia;6,81;-73,14;149,4;3,9;SGC;;;;;;88+/-13;46+/-9;-104+/-4;288+/-13;46+/-9;-76+/-4;;;;;;;;;;;;;POLARIDADES
2016-05-21 21:43:57;Los Santos - Santander, Colombia;6,82;-73,13;149;3,9;SGC;;;;;;82+/-10;47+/-6;-88+/-7;259+/-10;43+/-6;-92+/-7;;;;;;;;;;;;;POLARIDADES
2016-05-31 06:30:23;Los Santos - Santander, Colombia;6,82;-73,17;149,3;4,3;SGC;;;;;;38+/-7;33+/-7;10+/-7;300+/-7;85+/-7;123+/-7;;;;;;;;;;;;;POLARIDADES
2016-06-12 07:00:36;Los Santos - Santander, Colombia;6,82;-73,13;152,7;3,8;SGC;;;;;;27+/-5;19+/-1;78+/-3;220+/-5;71+/-1;94+/-3;;;;;;;;;;;;;POLARIDADES
2016-06-23 05:35:38;Los Santos - Santander, Colombia;6,78;-73,16;146,1;4,5;SGC;;;;;;28+/-8;58+/-8;-125+/-5;261+/-8;46+/-8;-47+/-5;;;;;;;;;;;;;POLARIDADES
2016-06-23 22:28:56;Los Santos - Santander, Colombia;6,82;-73,16;149,1;4,7;SGC;;;;;;31+/-1;51+/-1;18+/-4;289+/-1;76+/-1;140+/-4;;;;;;;;;;;;;POLARIDADES
2016-07-04 02:08:29;Zapatoca - Santander, Colombia;6,84;-73,18;147,2;3,7;SGC;;;;;;61+/-6;37+/-7;156+/-8;171+/-6;76+/-7;55+/-8;;;;;;;;;;;;;POLARIDADES
2016-07-12 23:49:01;Los Santos - Santander, Colombia;6,8;-73,12;146,2;3,8;SGC;;;;;;45+/-7;90+/-2;-162+/-15;315+/-7;72+/-2;0+/-15;;;;;;;;;;;;;POLARIDADES
2016-07-16 22:42:57;Tarazá - Antioquia, Colombia;7,52;-75,57;19,2;3,5;SGC;;;;;;108+/-5;78+/-15;-166+/-5;15+/-5;76+/-15;-12+/-5;;;;;;;;;;;;;POLARIDADES
2016-07-25 03:46:30;Los Santos - Santander, Colombia;6,79;-73,14;149,8;3,8;SGC;;;;;;21+/-6;32+/-8;-2+/-2;113+/-6;89+/-8;-122+/-2;;;;;;;;;;;;;POLARIDADES
2016-07-26 04:32:20;Los Santos - Santander, Colombia;6,8;-73,16;152,9;4,9;SGC;;;;;;108+/-1;51+/-1;-162+/-1;6+/-1;76+/-1;-40+/-1;;;;;;;;;;;;;POLARIDADES
2016-08-05 04:43:06;Yacopí - Cundinamarca, Colombia;5,61;-74,34;88,5;3,9;SGC;;;;;;97+/-6;52+/-4;98+/-4;264+/-6;39+/-4;80+/-4;;;;;;;;;;;;;POLARIDADES
2016-08-07 20:22:23;San Diego - Cesar, Colombia;10,26;-73,16;115,3;2,8;SGC;;;;;;128+/-5;67+/-15;154+/-8;229+/-5;66+/-15;25+/-8;;;;;;;;;;;;;POLARIDADES
2016-08-24 01:02:45;San Juan del Cesar - la Guajira, Colombia;6,8;-73,15;147;2,9;SGC;;;;;;68+/-7;90+/-10;-90+/-6;0+/-7;0+/-10;22+/-6;;;;;;;;;;;;;POLARIDADES
