lon;lat;depth;str1;dip1;rake1;str2;dip2;rake2;name;Catalogo
-34,4393;7,1256;13;0,87;88,3;-6,45;91,06;83,55;-178,29;609580725;ISC
-37;7,583;13;181,44;81,99;-21,64;274,61;68,58;-171,39;619061761;ISC
-37,053;8,05;13;169,75;56,44;-89,22;348,35;33,57;-91,17;625695666;ISC
-34,36;7,28;13,3;91;80;177;182;87;10;605416552;ISC
61,3;5,67;13,3;96;48;-115;311;48;-65;606073411;ISC
-37,88;8,15;13,3;187;47;-72;342;46;-108;611868974;ISC
61,25;5,66;13,4;135;48;-87;310;42;-93;605737136;ISC
38,75;7,71;13,5;208;28;-63;358;65;-103;615345447;ISC
-36,56;7,53;13,6;151;41;-86;325;49;-94;604478715;ISC
59,5;7,64;13,6;187;58;-43;303;54;-139;612366628;ISC
61,38;5,71;13,7;120;21;-104;316;69;-85;606829162;ISC
-73,539;6,747;13,7;98;53;138;      ;     ;       ;610737115;ISC
-73,254;6,411;13,8;25;18;88;      ;     ;       ;610733442;ISC
-36,86;7,82;14;172;66;-44;284;51;-148;600776957;ISC
-32,83;5,71;14;174;44;-76;335;48;-103;606506549;ISC
-34,2747;7,179;14;2,54;69,99;0,17;272,48;89,84;159,99;608030048;ISC
60;6,44;14;152;63;-52;272;45;-140;636873954;ISC
-37,109;7,619;14;176,52;73,68;-17,71;271,65;73,03;-162,92;637132920;ISC
-34,13;7,25;14,1;89;89;178;179;88;1;618458657;ISC
-36,46;7,61;14,3;175;35;-84;348;55;-94;610236689;ISC
-34,58;7,34;14,3;1;43;-80;167;48;-99;641602208;ISC
-32,78;5,62;14,4;163;37;-91;344;53;-90;602563787;ISC
-34,44;7,25;14,5;1;86;-7;92;83;-176;8029841;ISC
-39,44;8,17;14,6;177;57;-60;310;43;-127;606825124;ISC
60,07;6,69;14,6;149;41;-57;288;56;-116;619834019;ISC
61,21;5,66;14,7;107;47;-86;282;43;-94;606623114;ISC
-72,18;6,54;14,7;105;65;-34;211;60;-151;616639706;ISC
-32,96;5,72;14,7;181;64;-72;324;31;-122;622313132;ISC
-37,44;7,73;14,8;180;89;-10;270;80;-179;615739599;ISC
-34,43;7,24;14,8;89;83;-179;359;89;-7;621635042;ISC
60,81;6,07;14,8;125;37;-96;312;53;-86;636893273;ISC
61,24;5,81;14,9;130;28;-62;278;65;-104;601214772;ISC
-34,33;7,3;14,9;91;83;178;181;88;7;609580725;ISC
-72,75;6,54;15;94;35;-12;194;83;-124;688094;ISC
-38,69;8,27;15;269;90;180;359;90;0;673538;ISC
59,8;7,82;15;3;61;-44;119;52;-142;667921;ISC
-38,11;8,17;15;0;90;0;270;90;180;663158;ISC
-72,34;7,71;15;226;28;147;345;75;66;644923;ISC
-33,89;7,47;15;269;90;180;359;90;0;642476;ISC
-36,06;7,25;15;268;90;180;358;90;0;628588;ISC
-35,81;7,61;15;90;71;174;182;85;19;600392;ISC
38,59;7,41;15;176;51;-81;342;40;-101;562233;ISC
59,46;8,36;15;128;36;-120;344;60;-70;488227;ISC
-36,2;7,26;15;151;59;-104;356;34;-68;485147;ISC
12,95;7,85;15;27;67;104;174;27;60;477387;ISC
-37,84;8,45;15;1;51;-97;193;39;-81;463320;ISC
37,31;6,54;15;24;71;-94;216;20;-79;454899;ISC
36,4;5,77;15;7;61;-116;232;38;-51;456150;ISC
36,65;5,92;15;15;46;-102;211;45;-78;456362;ISC
-38,51;8,2;15;87;82;172;178;82;8;438342;ISC
-37,6;8,32;15;184;52;-87;359;38;-94;412657;ISC
-32,31;4,89;15;0;39;-87;176;51;-93;407497;ISC
38,16;7,35;15;20;45;-90;200;45;-90;401469;ISC
-36,49;7,88;15;265;90;-180;355;90;0;385459;ISC
-34,96;7,23;15;91;86;-161;359;71;-5;372686;ISC
31,64;5,93;15;74;52;-79;236;39;-104;370208;ISC
-36,85;7,62;15;1;90;0;271;90;-180;370548;ISC
31,6;5,83;15;28;44;-149;274;69;-50;362203;ISC
32,05;6;15;97;45;-90;277;45;-90;364397;ISC
59,8;6,28;15;134;45;-90;314;45;-90;359114;ISC
-72,9;5,76;15;227;90;-180;317;90;0;330136;ISC
-34,84;7,56;15;269;90;-180;359;90;0;317743;ISC
-34,02;7,43;15;264;90;-180;354;90;0;294273;ISC
39,06;7,75;15;90;74;10;357;80;164;247679;ISC
-37,2;7,84;15;2;82;4;271;86;172;241001;ISC
-34,85;7,43;15;267;90;-180;357;90;0;198786;ISC
58,46;8,48;15;111;63;-99;309;29;-74;182253;ISC
43,03;11,85;15;120;34;-67;273;59;-105;178926;ISC
61,16;6,04;15;113;45;-90;293;45;-90;175015;ISC
61,23;5,9;15;113;45;-90;293;45;-90;175016;ISC
61,31;5,73;15;120;45;-90;300;45;-90;175039;ISC
-72,03;7,62;15;133;32;54;354;65;110;175831;ISC
-34,46;7,14;15;89;79;168;181;79;11;100768;ISC
-35,16;7,39;15;87;81;179;177;89;9;993115;ISC
58,16;8,48;15;118;45;-100;312;46;-80;1027521;ISC
-37,4;7,74;15;89;76;178;179;88;14;1048219;ISC
-32,98;5,68;15;183;34;-48;316;65;-114;1174806;ISC
-38,3;7,92;15;201;33;-65;352;61;-105;1654279;ISC
-37,82;8,02;15;2;36;-102;197;55;-81;1658271;ISC
-37,89;8,29;15;15;49;-77;175;43;-105;1658273;ISC
-33,94;7,39;15;10;90;0;280;90;-180;1755069;ISC
